key,gpu,precision,config,type,batch_size,effective_batch_size,input_length,forward_gflops_per_joule,backward_gflops_per_joule,total_gflops_per_joule,forward_energy,backward_energy,forward_gpu_time,backward_gpu_time
optimized_small,Unknown,Unknown,small,optimized,16,16,512,3674.0340547800693,346.1806041769536,4020.214658957023,5.511556741573034,116.9906451111111,27.818018916666666,314.9947698555555
L40_FP16,L40,FP16,baseline,baseline,16,16,100,3.944471036524614,1.612234607986597,5.5567056445112115,2.179721304347826,4.9079151,9.44087761,24.812749480000022
A100-40G_FP16,A100-40G,FP16,baseline,baseline,16,16,100,2.896813047945835,0.8732112835075222,3.7700243314533575,9.752120714285715,9.061622,7.715602649999999,26.63570410000001
A100-80G_FP16,A100-80G,FP16,baseline,baseline,16,16,100,2.6235572124691298,0.8741685872395265,3.497725799708656,15.07499,9.0516986,7.223464430000003,25.309792239999968
L40_FP32,L40,FP32,baseline,baseline,16,16,100,2.251808672829414,0.7126773017865093,2.9644859746159233,1.7563703,11.1028694,14.728895869999999,45.832903590000015
A40_FP16,A40,FP16,baseline,baseline,16,16,100,1.9570994355650246,0.8390900530618475,2.7961894886268723,4.124189387755102,10.139902043010753,11.8567071,32.324321369999986
A40_FP32,A40,FP32,baseline,baseline,16,16,100,1.3166973365626462,0.5736435624672908,1.8903408990299368,3.003735,13.793867,21.537207510000005,70.88469581000003
A100-40G_FP32,A100-40G,FP32,baseline,baseline,16,16,100,0.9952924606721422,0.5042625806897666,1.4995550413619088,4.013854848484849,15.6917513,24.3854375,76.99534071000001
A100-80G_FP32,A100-80G,FP32,baseline,baseline,16,16,100,0.849339723066549,0.5339880664959429,1.3833277895624918,4.85059375,14.8182394,24.11592111,75.48936321000002
V100_FP32,V100,FP32,baseline,baseline,16,16,100,0.7243749386531051,0.4050506815881849,1.12942562024129,5.571319693877551,19.5352418,32.59189153,82.43138122999999
V100_FP16,V100,FP16,baseline,baseline,16,16,100,0.7970500061452347,0.25362532606750265,1.0506753322127373,5.014972323232323,31.2154076,47.90130839,117.29046868999998
