n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,epsilon_gemm,rho,kappa_fwd,epsilon_gemm_bwd,rho_bwd,kappa_bwd
2,128,16,37556224.0,1052672,3467.7042801556418,56545760.0,1579008,3481.0939526588845,34.5,65.0,15.0,34.5,113.41145833333333,1.0
2,128,32,37888000.0,2105344,1699.6108949416343,56693216.0,3158016,1695.2162370298315,16.75,65.0,15.0,16.75,67.70572916666667,1.0
2,128,64,38027264.0,4210688,803.1128404669261,63214048.0,6316032,900.8506606679637,7.875,33.0,15.0,8.891927083333334,37.852864583333336,1.0
2,128,128,9142272.0,8421376,8.560311284046692,13046240.0,12632064,3.278767428664073,0.02734375,0.0,15.0,0.02734375,0.4264322916666667,1.0
2,128,256,18284544.0,16842752,8.560311284046692,26710496.0,25264128,5.724986827172503,0.02734375,0.0,15.0,0.04557291666666674,2.0465494791666665,1.0
2,256,16,37625856.0,4202496,795.3216374269006,68375008.0,6303744,984.6729816439247,7.875,33.0,15.0,9.723958333333334,71.70572916666667,1.0
2,256,32,9191424.0,8404992,9.35672514619883,42406368.0,12607488,236.35858308966863,0.0546875,5.0,15.0,2.3098958333333335,28.852864583333332,1.0
2,256,64,18382848.0,16809984,9.35672514619883,26350048.0,25214976,4.5015787443144895,0.0546875,5.0,15.0,0.0390625,2.0930989583333335,1.0
2,256,128,36765696.0,33619968,9.35672514619883,51778016.0,50429952,2.6731415488953867,0.0546875,5.0,15.0,0.02083333333333326,2.0465494791666665,1.0
2,256,256,73531392.0,67239936,9.35672514619883,107614688.0,100859904,6.697194556124107,0.0546875,5.0,15.0,0.0546875,5.356608072916667,1.0
2,512,16,35799037.0,16793600,113.1707138433689,109973984.0,25190400,336.5710111788618,1.109375,9.0,14.99981689453125,3.177083333333333,195.51953125,1.0
2,512,32,36208640.0,33587200,7.804878048780488,71307744.0,50380800,41.5375381097561,0.0546875,9.0,15.0,0.41145833333333326,3.4264322916666665,1.0
2,512,64,72417280.0,67174400,7.804878048780488,105124320.0,100761600,4.329744664634147,0.0546875,9.0,15.0,0.0390625,3.3798828125,1.0
2,512,128,140640248.0,134348800,4.682920874618903,206574048.0,201523200,2.5063357469512195,0.02734375,5.0,14.99993896484375,0.02083333333333326,3.3566080729166665,1.0
2,512,256,277086193.0,268697600,3.1219456370283916,408234480.0,403046400,1.2872165586890245,0.013671875,3.0,14.999942779541016,0.01139322916666674,0.5273030598958334,1.0
2,1024,16,138706779.0,67141632,106.58833404585697,137236960.0,100712448,36.26613464901578,1.0546875,9.0,14.994964599609375,0.359375,6.093098958333333,1.0
2,1024,32,139525781.0,134283264,3.9040732581537485,204739040.0,201424896,1.6453497386936715,0.02734375,9.0,14.994461059570312,0.01302083333333326,6.046549479166667,1.0
2,1024,64,274857080.0,268566528,2.342269547454551,406327776.0,402849792,0.8633451149951196,0.013671875,5.0,14.99310302734375,0.006510416666666741,3.3566080729166665,1.0
2,1024,128,545519978.0,537133056,1.561423544187904,810625520.0,805699584,0.6113861913077517,0.0068359375,3.0,14.993568420410156,0.00390625,3.5273030598958335,1.0
2,1024,256,1085797034.0,1074266112,1.0733766867626928,1616529408.0,1611399168,0.31837176671547096,0.00341796875,0.0,14.993488311767578,0.00244140625,0.5234375,1.0
4,128,16,75112448.0,2105344,3467.7042801556418,131830240.0,3684352,3478.111971928849,34.5,65.0,15.0,34.5,106.03348214285714,0.7142857142857142
4,128,32,75776000.0,4210688,1699.6108949416343,132256224.0,7368704,1694.8369754030018,16.75,65.0,15.0,16.75,67.01674107142857,0.7142857142857142
4,128,64,76054528.0,8421376,803.1128404669261,151785952.0,14737408,929.9365532934963,7.875,33.0,15.0,9.182477678571429,38.508370535714285,0.7142857142857142
4,128,128,18284544.0,16842752,8.560311284046692,30380512.0,29474816,3.072779148137854,0.02734375,0.0,15.0,0.02734375,0.18275669642857142,0.7142857142857142
4,128,256,36569088.0,33685504,8.560311284046692,62001632.0,58949632,5.177301191634241,0.02734375,0.0,15.0,0.04296875,1.5913783482142858,0.7142857142857142
4,256,16,75251712.0,8404992,795.3216374269006,167203296.0,14708736,1036.7618264411028,7.875,33.0,15.0,10.252232142857142,68.73102678571429,0.7142857142857142
4,256,32,18382848.0,16809984,9.35672514619883,89264608.0,29417472,203.44078512252852,0.0546875,5.0,15.0,1.9877232142857144,25.22265625,0.7142857142857142
4,256,64,36765696.0,33619968,9.35672514619883,61215200.0,58834944,4.045650149679755,0.0546875,5.0,15.0,0.03459821428571419,2.3256138392857144,0.7142857142857142
4,256,128,73531392.0,67239936,9.35672514619883,120590816.0,117669888,2.4823071132692847,0.0546875,5.0,15.0,0.01897321428571419,2.3056640625,0.7142857142857142
4,256,256,147062784.0,134479872,9.35672514619883,250876384.0,235339776,6.601777338311056,0.0546875,5.0,15.0,0.0546875,5.15283203125,0.7142857142857142
4,512,16,71598080.0,33587200,113.17073170731706,253825504.0,58777600,331.84053789198606,1.109375,9.0,15.0,3.15625,168.65122767857142,0.7142857142857142
4,512,32,72417275.0,67174400,7.80487060546875,176558560.0,117555200,50.19204594947735,0.0546875,9.0,14.999923706054688,0.4977678571428572,4.039899553571429,0.7142857142857142
4,512,64,144834550.0,134348800,7.80487060546875,244322784.0,235110400,3.91832262630662,0.0546875,9.0,14.999923706054688,0.03459821428571419,4.019949776785714,0.7142857142857142
